YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBPI
2005,손시헌,두산,0.276,126,480,416,59,115,18,5,4,155,60,6,6,48,0,4,59,7,0.373,0.352,0.725,27,0.299,0.0,-0.40861267
2003,전준호,현대,0.269,129,533,442,79,119,16,6,3,156,38,20,2,58,0,10,56,3,0.353,0.365,0.718,35,0.264,0.0,-0.40886793
2012,전준우,롯데,0.253,122,520,459,63,116,22,4,7,167,38,6,3,45,0,7,103,16,0.364,0.327,0.691,26,0.24,0.0,-0.40907907
2021,최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3,72,2,12,68,16,0.387,0.405,0.792,29,0.275,0.0,-0.41087627
2011,오재원,두산,0.277,129,529,466,73,129,18,4,6,173,46,12,3,39,0,9,62,6,0.371,0.342,0.713,32,0.264,0.0,-0.41259727
2004,정경배,SK,0.296,105,421,362,51,107,23,0,9,157,47,13,3,32,0,11,63,9,0.434,0.368,0.802,38,0.3,0.0,-0.41269827
2010,오지환,LG,0.241,125,417,352,59,85,13,6,13,149,61,7,7,44,0,7,137,1,0.423,0.332,0.755,17,0.267,0.429,-0.4131428
2012,김현수,두산,0.291,122,491,437,47,127,17,1,7,167,65,0,5,46,2,3,50,9,0.382,0.358,0.74,34,0.384,0.0,-0.41436478
2014,김성현,SK,0.284,122,476,398,73,113,20,1,5,150,43,10,6,55,0,7,51,7,0.377,0.376,0.753,29,0.25,0.0,-0.4154268
2020,유강남,LG,0.261,137,478,429,51,112,18,0,16,178,74,2,2,32,1,13,84,18,0.415,0.33,0.745,23,0.352,0.375,-0.41546825
2013,이승엽,삼성,0.253,111,483,443,62,112,24,0,13,175,69,0,8,30,2,2,94,8,0.395,0.298,0.693,35,0.218,0.0,-0.41566995
2010,손시헌,두산,0.273,128,499,433,51,118,19,1,8,163,62,10,3,46,2,7,64,12,0.376,0.35,0.726,30,0.339,0.333,-0.41574633
2019,박경수,KT,0.247,137,490,421,43,104,24,0,10,158,65,4,6,55,1,4,102,14,0.375,0.335,0.71,24,0.281,0.154,-0.4162439
2021,이대호,롯데,0.286,114,465,420,39,120,11,0,19,188,81,0,6,34,3,5,50,12,0.448,0.342,0.79,36,0.256,0.143,-0.41634488
2004,전상렬,두산,0.274,128,542,486,76,133,18,2,5,170,42,10,4,34,1,8,61,2,0.35,0.329,0.679,37,0.287,0.25,-0.416577
2021,박성한,SSG,0.302,135,471,407,53,123,21,1,4,158,44,12,2,49,0,1,73,1,0.388,0.377,0.765,26,0.298,0.5,-0.41673744
2010,박경완,SK,0.262,129,472,381,51,100,20,0,14,162,67,15,3,46,2,27,88,11,0.425,0.379,0.804,23,0.279,0.0,-0.4168594
2014,나주환,SK,0.273,127,478,422,64,115,25,0,7,161,51,14,3,36,0,3,101,8,0.382,0.332,0.714,26,0.209,0.5,-0.41718936
